TITLE:Sällskapet KM 2025
DATE:2025-01-31
ROUND:1
ROUNDS:16
PAUSED:



2720!Test01 Player01!31 b 1    !16 w 1    !12 b 1    ! 6 w 1    ! 7 b 0    ! 4 w 1    ! 3 b 0    !14 w 1    !10 w 1    ! 8 b 1    ! 5 w 1    !11 b 0    !17 w =    ! 2 b 1
2701!Test02 Player02!32 w 1    !17 b 0    !29 w 1    !15 b =    !27 w 1    !13 b 1    ! 8 w =    !11 b 0    !20 w 1    ! 7 b =    !10 w =    !12 b =    ! 9 w 1    ! 1 w 0
2697!Test03 Player03!33 b 1    !18 w =    !22 b 1    !26 w 1    ! 8 b 1    ! 7 w =    ! 1 w 1    ! 6 b 1    !11 w 1    ! 5 b 0    !12 w 0    !17 b =    ! 4 b 1    !10 w =
2689!Test04 Player04!34 w +    !19 b 1    !11 w =    !17 b =    ! 5 w 1    ! 1 b 0    !18 w =    ! 8 b -    !27 b 1    !15 w +    ! 7 w 1    ! 8 b =    ! 3 w 0    !14 b 1
2673!Test05 Player05!35 b 1    !20 w 1    !14 b 1    ! 8 w =    ! 4 b 0    ! 6 w -    !17 w 1    !18 b 1    !16 w +    ! 3 w 1    ! 1 b 0    ! 7 w =    !10 w 1    ! 6 b 0
2664!Test06 Player06!36 w 1    !21 b 1    !13 w 1    ! 1 b 0    !12 w 1    ! 5 b +    ! 7 b 0    ! 3 w 0    !31 b 1    !11 b =    ! 8 w 0    !15 b 1    !16 w =    ! 5 w 1
2655!Test07 Player07!37 b 1    !22 w =    !30 b +    !11 b 1    ! 1 w 1    ! 3 b =    ! 6 w 1    !10 w +    ! 8 b 0    ! 2 w =    ! 4 b 0    ! 5 b =    !12 w 1    !17 b =
2653!Test08 Player08!38 w 1    !25 b 1    !15 w 1    ! 5 b =    ! 3 w 0    !17 b 1    ! 2 b =    ! 4 w +    ! 7 w 1    ! 1 w 0    ! 6 b 1    ! 4 w =    !11 b 1    !12 b 0
2636!Test09 Player09!39 b -    !53 w 1    !31 b 1    !19 b 1    !17 w =    !14 w =    !10 b 0    !25 w 1    !22 b 1    !12 b =    !11 w 0    !13 w 1    ! 2 b 0    !15 b =
2596!Test10 Player10!40 w 1    !26 b =    !17 w =    !21 b 1    !13 w =    !15 b 1    ! 9 w 1    ! 7 b -    ! 1 b 0    !16 w 1    ! 2 b =    !20 w 1    ! 5 b 0    ! 3 b =
2593!Test11 Player11!41 b 1    !24 w 1    ! 4 b =    ! 7 w 0    !14 b =    !29 w 1    !20 b 1    ! 2 w 1    ! 3 b 0    ! 6 w =    ! 9 b 1    ! 1 w 1    ! 8 w 0    !16 b 1
2583!Test12 Player12!42 w 1    !27 b 1    ! 1 w 0    !23 b 1    ! 6 b 0    !18 w =    !31 b =    !26 w 1    !14 b 1    ! 9 w =    ! 3 b 1    ! 2 w =    ! 7 b 0    ! 8 w 1
2569!Test13 Player13!43 b 1    !28 w 1    ! 6 b 0    !16 w 1    !10 b =    ! 2 w 0    !27 b 1    !20 w -    !29 w 1    !17 b 0    !39 w 1    ! 9 b 0    !22 w =    !36 b 1
2568!Test14 Player14!44 w 1    !29 b 1    ! 5 w 0    !25 b 1    !11 w =    ! 9 b =    !21 w 1    ! 1 b 0    !12 w 0    !26 b 1    !17 w 0    !27 b +    !20 b 1    ! 4 w 0
2548!Test15 Player15!45 b 1    !39 w 1    ! 8 b 0    ! 2 w =    !26 b 1    !10 w 0    !33 b 1    !16 w -    !18 w 1    ! 4 b -    !25 b 1    ! 6 w 0    !31 b 1    ! 9 w =
2541!Test16 Player16!46 w 1    ! 1 b 0    !38 w 1    !13 b 0    !40 w =    !30 b 1    !23 w 1    !15 b +    ! 5 b -    !10 b 0    !31 w 1    !19 b 1    ! 6 b =    !11 w 0
2521!Test17 Player17!47 b 1    ! 2 w 1    !10 b =    ! 4 w =    ! 9 b =    ! 8 w 0    ! 5 b 0    !39 w 1    !33 b 1    !13 w 1    !14 b 1    ! 3 w =    ! 1 b =    ! 7 w =
2419!Test18 Player18!48 w 1    ! 3 b =    !26 w 0    !33 b 1    !42 w 1    !12 b =    ! 4 b =    ! 5 w 0    !15 b 0    !39 w -    !36 w =    !43 b 1    !39 w 1    !21 b 1
2386!Test19 Player19!49 b 1    ! 4 w 0    !35 b 1    ! 9 w 0    !31 b 0    !39 w =    !43 b -    !32 b 1    !42 w 1    !40 b 1    !21 w =    !16 w 0    !34 b 1    !25 w -
